Invoice ID,Customer type,Gender,Country,City,State,Postal Code,Product line,Quantity,Tax 5%,Sales,Ship Mode,Date,Payment_Type,CRating
750-67-8428,Member,Female,United States,Henderson,Kentucky,42420,Health and beauty,7,26.1415,548.9715,Second Class,01/05/2019,Ewallet,9.10
226-31-3081,Normal,Female,United States,Henderson,Kentucky,42420,Electronic accessories,5,3.82,80.22,Second Class,03/08/2019,Cash,9.60
631-41-3108,Normal,Male,United States,Los Angeles,California,90036,Home and lifestyle,7,16.2155,340.5255,Second Class,03/03/2019,Credit card,7.40
123-19-1176,Member,Male,United States,Fort Lauderdale,Florida,33311,Health and beauty,8,23.288,489.048,Standard Class,04/03/2019,Ewallet,8.40
373-73-7910,Normal,Male,United States,Fort Lauderdale,Florida,33311,Sports and travel,7,30.2085,634.3785,Standard Class,02/08/2019,Ewallet,5.30
699-14-3026,Normal,Male,United States,Los Angeles,California,90032,Electronic accessories,7,29.8865,627.6165,Standard Class,03/08/2019,Ewallet,4.10
355-53-5943,Member,Female,United States,Los Angeles,California,90032,Electronic accessories,6,20.652,433.692,Standard Class,04/08/2019,Ewallet,
315-22-5665,Normal,Female,United States,Los Angeles,California,90032,Home and lifestyle,10,36.78,772.38,Standard Class,05/08/2019,Ewallet,8.00
665-32-9167,Member,Female,United States,Los Angeles,California,90032,Health and beauty,2,3.626,76.146,Standard Class,01/10/2019,Credit card,7.20
692-92-5582,Member,Female,United States,Los Angeles,California,90032,Food and beverages,3,8.226,172.746,Standard Class,02/10/2019,Credit card,5.90
351-62-0822,Member,Female,United States,Los Angeles,California,90032,Fashion accessories,4,2.896,60.816,Standard Class,03/10/2019,Ewallet,4.50
529-56-3974,Member,Female,United States,Los Angeles,California,90032,Electronic accessories,4,5.102,107.142,Standard Class,04/10/2019,Cash,6.80
365-64-0515,Normal,Female,United States,Concord,North Carolina,28027,Electronic accessories,5,11.7375,246.4875,Standard Class,05/10/2019,Ewallet,7.10
252-56-2699,Normal,Female,United States,Seattle,Washington,98103,Food and beverages,10,21.595,453.495,Standard Class,06/10/2019,Ewallet,8.20
829-34-3910,Normal,Female,United States,Fort Worth,Texas,76106,Health and beauty,10,35.69,749.49,Standard Class,07/10/2019,Cash,5.70
299-46-1805,Member,Female,United States,Fort Worth,Texas,76106,Sports and travel,6,28.116,590.436,Standard Class,08/10/2019,Cash,4.50
656-95-9349,Member,Female,United States,Madison,Wisconsin,53711,Health and beauty,7,24.1255,506.6355,Standard Class,09/10/2019,Cash,4.60
765-26-6951,Normal,Female,United States,West Jordan,Utah,84084,Sports and travel,6,21.783,457.443,Second Class,10/10/2019,Cash,6.90
329-62-1586,Normal,Female,United States,San Francisco,California,94109,Food and beverages,3,8.2005,172.2105,Second Class,11/10/2019,Cash,8.60
319-50-3348,Normal,Female,United States,San Francisco,California,94109,Home and lifestyle,2,4.03,84.63,Second Class,12/10/2019,Ewallet,4.40
300-71-4605,Member,Female,United States,San Francisco,California,94109,Electronic accessories,5,21.51,451.71,Second Class,13/10/2019,Ewallet,
371-85-5789,Normal,Female,United States,Fremont,Nebraska,68025,Health and beauty,3,13.197,277.137,Standard Class,14/10/2019,Ewallet,5.10
273-16-6619,Normal,Female,United States,Fremont,Nebraska,68025,Home and lifestyle,2,3.32,69.72,Standard Class,15/10/2019,Credit card,4.40
636-48-8204,Normal,Female,United States,Philadelphia,Pennsylvania,19140,Electronic accessories,5,8.64,181.44,Second Class,16/10/2019,Ewallet,9.90
549-59-1358,Member,Female,United States,Orem,Utah,84057,Sports and travel,3,13.2945,279.1845,Standard Class,03/02/2019,Ewallet,6.00
227-03-5010,Member,,United States,Los Angeles,California,90049,Home and lifestyle,8,21.036,441.756,Second Class,04/02/2019,Credit card,8.50
649-29-6775,Normal,,United States,Los Angeles,California,90049,Fashion accessories,1,1.676,35.196,Second Class,05/02/2019,Cash,6.70
189-17-4241,Normal,,United States,Philadelphia,Pennsylvania,19140,Fashion accessories,2,8.767,184.107,Standard Class,06/02/2019,Credit card,7.70
145-94-9061,Normal,,United States,Philadelphia,Pennsylvania,19140,Food and beverages,5,22.09,463.89,Standard Class,07/02/2019,Cash,9.60
848-62-7243,Normal,,United States,Philadelphia,Pennsylvania,19140,Health and beauty,9,11.2005,235.2105,Standard Class,08/02/2019,Cash,7.40
871-79-8483,Normal,,United States,Philadelphia,Pennsylvania,19140,Fashion accessories,5,23.5325,494.1825,Standard Class,09/02/2019,Credit card,4.80
149-71-6266,Member,,United States,Philadelphia,Pennsylvania,19140,Sports and travel,9,35.1315,737.7615,Standard Class,10/02/2019,Cash,4.50
640-49-2076,Normal,,United States,Philadelphia,Pennsylvania,19140,Sports and travel,8,33.512,703.752,Standard Class,11/02/2019,Cash,5.10
595-11-5460,Normal,,United States,Philadelphia,Pennsylvania,19140,Health and beauty,2,9.658,202.818,Standard Class,12/02/2019,Credit card,5.10
183-56-6882,Member,,United States,Houston,Texas,77095,Food and beverages,4,19.884,417.564,Second Class,13/02/2019,Ewallet,7.50
232-16-2483,Member,,United States,Richardson,Texas,75080,Sports and travel,1,3.406,71.526,First Class,14/02/2019,Ewallet,6.80
129-29-8530,Member,,United States,Richardson,Texas,75080,Sports and travel,5,15.655,328.755,First Class,15/02/2019,Ewallet,7.00
272-65-1806,Normal,,United States,Houston,Texas,77041,Electronic accessories,9,27.396,575.316,Standard Class,16/02/2019,Ewallet,4.70
333-73-7901,Normal,,United States,Houston,Texas,77041,Health and beauty,8,21.968,461.328,Standard Class,17/02/2019,Ewallet,7.60
777-82-7220,Member,,United States,Houston,Texas,77041,Home and lifestyle,8,12.048,253.008,Standard Class,18/02/2019,Cash,7.70
280-35-5823,Member,,United States,Houston,Texas,77041,Home and lifestyle,1,4.336,91.056,Standard Class,19/02/2019,Ewallet,7.90
554-53-8700,Member,,United States,Naperville,Illinois,60540,Home and lifestyle,2,5.611,117.831,Standard Class,20/02/2019,Cash,6.30
354-25-5821,Member,,United States,Los Angeles,California,90049,Sports and travel,6,20.736,435.456,Standard Class,21/02/2019,Cash,5.60
228-96-1411,Member,,United States,Melbourne,Florida,32935,Food and beverages,8,39.48,829.08,Standard Class,22/02/2019,Cash,7.60
617-15-4209,Member,,United States,Eagan,Minnesota,55122,Health and beauty,2,1.537,32.277,First Class,23/02/2019,Cash,7.20
132-32-9879,Member,,United States,Eagan,Minnesota,55122,Electronic accessories,4,18.792,394.632,First Class,24/02/2019,Cash,9.50
370-41-7321,Member,,United States,Westland,Michigan,48185,Health and beauty,9,25.5105,535.7205,Second Class,25/02/2019,Credit card,8.40
727-46-3608,Member,,United States,Dover,Delaware,19901,Food and beverages,9,9.0045,189.0945,Standard Class,26/02/2019,Ewallet,4.10
669-54-1719,Member,,United States,Dover,Delaware,19901,Electronic accessories,6,5.679,119.259,Standard Class,27/02/2019,Credit card,8.10
574-22-5561,Member,,United States,New Albany,Indiana,47150,Fashion accessories,10,41.315,867.615,Standard Class,28/02/2019,Ewallet,7.90
326-78-5178,Member,,United States,New Albany,Indiana,47150,Food and beverages,7,31.99,671.79,Standard Class,01/03/2019,Cash,9.50
162-48-8011,Member,,United States,New Albany,Indiana,47150,Food and beverages,5,11.1475,234.0975,Standard Class,02/03/2019,Cash,8.50
616-24-2851,Member,,United States,New Albany,Indiana,47150,Fashion accessories,4,3.574,75.054,Standard Class,03/03/2019,Ewallet,6.50
778-71-5554,Member,,United States,New York City,New York,10024,Fashion accessories,1,0.7715,16.2015,Standard Class,04/03/2019,Credit card,6.10
242-55-6721,Normal,,United States,New York City,New York,10024,Home and lifestyle,2,1.616,33.936,Standard Class,05/03/2019,Ewallet,6.50
399-46-5918,Normal,,United States,Troy,New York,12180,Electronic accessories,8,34.392,722.232,First Class,06/03/2019,Cash,
106-35-6779,Member,,United States,Troy,New York,12180,Home and lifestyle,2,4.434,93.114,First Class,07/03/2019,Cash,
